 ,sigma_bin0 ,sigma_bin1 ,sigma_bin2 ,sigma_bin3 ,mu_Zjets ,mu_wwTop_SR_0 ,mu_ggf ,mu_wwTop_SR_1 ,mu_Zjets_CRGGF1 ,mu_wwTop_CRGGF ,
sigma_bin0,1,-0.326069,0.0843402,0.00789058,-0.0243394,-0.129177,-0.265031,-0.034043,0.0367904,-0.0218802,
sigma_bin1,-0.326069,1,-0.346284,0.0816269,-0.0316405,-0.100307,-0.000942774,0.0269823,0.00599625,-0.0766179,
sigma_bin2,0.0843402,-0.346284,1,-0.231726,4.93889e-05,0.0192347,-0.0238604,-0.148853,0.0395487,0.0136534,
sigma_bin3,0.00789058,0.0816269,-0.231726,1,-0.0337568,-0.0496116,-0.0459936,-0.161656,0.00108276,-0.0506786,
mu_Zjets,-0.0243394,-0.0316405,4.93889e-05,-0.0337568,1,-0.0350463,-0.0607089,-0.0446823,-0.0195501,0.0199183,
mu_wwTop_SR_0,-0.129177,-0.100307,0.0192347,-0.0496116,-0.0350463,1,0.165654,0.299637,0.108756,0.573817,
mu_ggf,-0.265031,-0.000942774,-0.0238604,-0.0459936,-0.0607089,0.165654,1,0.0886218,-0.0171365,0.0247733,
mu_wwTop_SR_1,-0.034043,0.0269823,-0.148853,-0.161656,-0.0446823,0.299637,0.0886218,1,0.0542734,0.333165,
mu_Zjets_CRGGF1,0.0367904,0.00599625,0.0395487,0.00108276,-0.0195501,0.108756,-0.0171365,0.0542734,1,-0.166062,
mu_wwTop_CRGGF,-0.0218802,-0.0766179,0.0136534,-0.0506786,0.0199183,0.573817,0.0247733,0.333165,-0.166062,1,
